eni-00324dfb1ef815fe9,10.30.30.28,i-082b5cbe9af8d3c27,eksws-eksctl-eksws-unmanged-Node
eni-00a008972bcce0909,10.30.30.137,i-0c17e2cdfafcb93a0,eksws-eksctl-eksws-managed-Node
eni-01033779368d84d40,10.30.10.174,i-0ca8d205bd1249fc0,eksws-eksctl-eksws-managed-Node
eni-038facdbf77e76146,172.31.30.89,i-022f5e0f360f1a6e6,aiDev
eni-079f6dd0449bb973b,10.30.10.78,i-0ca8d205bd1249fc0,eksws-eksctl-eksws-managed-Node
eni-07ad83d8ba0c80739,10.30.30.106,i-082b5cbe9af8d3c27,eksws-eksctl-eksws-unmanged-Node
eni-08b823cc044a2b44a,172.31.46.43,i-083a2beea6fc77fee,lkdev
eni-0925247df08560cfe,10.30.30.65,i-082b5cbe9af8d3c27,eksws-eksctl-eksws-unmanged-Node
eni-097e16d61a127d926,10.30.10.91,i-0ca8d205bd1249fc0,eksws-eksctl-eksws-managed-Node
eni-0dbefea13c4c2f838,172.31.44.158,i-00857245928a8902b,armTest
eni-0eca9f007f84e9b57,10.30.30.101,i-0c17e2cdfafcb93a0,eksws-eksctl-eksws-managed-Node
